category,kind,directory,asset,model,author,license,confidence,score,faces,url
Starships,individual,Individuals/Bosphon Forever,Bosphon Forever,Dragon Heavy Version 1,CorelliaStar Shipyards,,inherited,1.0,,https://sketchfab.com/3d-models/none-90acf71da03b498cb1916bf24dd9c2f6
Starships,individual,Individuals/Bossk's freighter,Bossk's freighter,"YTS-27 light freighter ""The Kowakian Corsair""",JP_2793,,inherited,1.0,,https://sketchfab.com/3d-models/none-3e187fed67034c488a0a9e41eae36628
Starships,individual,Individuals/Bounty (warship),Bounty,Lee Armory's Bounty Hunter,thanoidiscominggaming,,exact,1.0,,https://sketchfab.com/3d-models/none-bac767c4fcf2488eb88a101489cbabda
Starships,individual,Individuals/Brassbound,Brassbound,Star Wars: Imperial II Star Destroyer,Daniel,,inherited,1.0,,https://sketchfab.com/3d-models/none-b8bd2d35f7604670ab85242c06c6d280
Starships,individual,Individuals/Bravedawn,Bravedawn,Kei Truck Scout Transport,JohnMesplay,,inherited,1.0,,https://sketchfab.com/3d-models/none-0cb4b243a9dd4d1ca1ab30a17f23ac81
Starships,individual,Individuals/Bravo 2,Bravo 2,Naboo N-1 Starfighter - Star Wars,Quiznos323,,inherited,1.0,,https://sketchfab.com/3d-models/none-3cf69f6c85234aac8844e845e74ac75b
Starships,individual,Individuals/Bravo 3 (Legends),Bravo 3,Naboo N-1 Starfighter - Star Wars,Quiznos323,,inherited,1.0,,https://sketchfab.com/3d-models/none-3cf69f6c85234aac8844e845e74ac75b
Starships,individual,Individuals/Bravo 4 (starfighter),Bravo 4,Naboo N-1 Starfighter - Star Wars,Quiznos323,,inherited,1.0,,https://sketchfab.com/3d-models/none-3cf69f6c85234aac8844e845e74ac75b
Starships,individual,Individuals/Bravo 5,Bravo 5,Naboo N-1 Starfighter - Star Wars,Quiznos323,,inherited,1.0,,https://sketchfab.com/3d-models/none-3cf69f6c85234aac8844e845e74ac75b
Starships,individual,Individuals/Bravo Fighter,Bravo Fighter,Naboo N-1 Starfighter - Star Wars,Quiznos323,,inherited,1.0,,https://sketchfab.com/3d-models/none-3cf69f6c85234aac8844e845e74ac75b
Starships,individual,Individuals/Bravo Six,Bravo Six,X-wing starfighter | T-65C-A2,Alana G,,inherited,1.0,,https://sketchfab.com/3d-models/none-2397144aa2314e8fb03bf131d8f56af4
Starships,individual,Individuals/Brazen,Brazen,83359 Star Wars Imperial II-class Star Destroyer,S🅾️Meme star wars,,inherited,1.0,,https://sketchfab.com/3d-models/none-c75cfb15ef124691b3fa33c30e017bbe
Starships,individual,Individuals/Breath of the Balyeg,Breath of the Balyeg,Star Destroyer Hallway,A308 Digital,,inherited,1.0,,https://sketchfab.com/3d-models/none-eba38859a8484637a5d61f7e9e769a7d
Starships,individual,Individuals/Bredis,Bredis,Star Wars: Lambda Shuttle,Daniel,,inherited,1.0,,https://sketchfab.com/3d-models/none-9d160e16845a4b518a2d30a7c716f20d
Starships,individual,Individuals/Brentaal Star,Brentaal Star,Star Wars: Raider-class Corvette,Daniel,,inherited,1.0,,https://sketchfab.com/3d-models/none-8732794c82044aafb1c74a55b07674e0
Starships,individual,Individuals/Bria,Bria,"YTS-27 light freighter ""The Kowakian Corsair""",JP_2793,,inherited,1.0,,https://sketchfab.com/3d-models/none-3e187fed67034c488a0a9e41eae36628
Starships,individual,Individuals/Bright Nebula,Bright Nebula,Star Wars: GR-75 Medium Transport,Daniel,,inherited,1.0,,https://sketchfab.com/3d-models/none-071b158d02c044ee9b431aeb28b85b6a
Starships,individual,Individuals/Bright Seeker,Bright Seeker,"YTS-27 light freighter ""The Kowakian Corsair""",JP_2793,,inherited,1.0,,https://sketchfab.com/3d-models/none-3e187fed67034c488a0a9e41eae36628
Starships,individual,Individuals/Bright Vigil,Bright Vigil,Kei Truck Scout Transport,JohnMesplay,,inherited,1.0,,https://sketchfab.com/3d-models/none-0cb4b243a9dd4d1ca1ab30a17f23ac81
Starships,individual,Individuals/Brightsaber,Brightsaber,Star Wars Dreadnaught-Class Heavy Cruiser,flannelandfilm,,inherited,1.0,,https://sketchfab.com/3d-models/none-14e6ad1266104dec96541b17000925f2
Starships,individual,Individuals/Broadside (Marauder-class),Broadside,Star Wars: Raider-class Corvette,Daniel,,inherited,1.0,,https://sketchfab.com/3d-models/none-8732794c82044aafb1c74a55b07674e0
Starships,individual,Individuals/Broadside (shuttle),Broadside,Star Wars: Lambda Shuttle,Daniel,,inherited,1.0,,https://sketchfab.com/3d-models/none-9d160e16845a4b518a2d30a7c716f20d
Starships,individual,Individuals/Broken Horn,Broken Horn,Arquitens-Class Light Cruiser,A308 Digital,,inherited,1.0,,https://sketchfab.com/3d-models/none-802fa70fb8cd46f5b741cb6b99f66229
Starships,individual,Individuals/Broken Wing,Broken Wing,"YTS-27 light freighter ""The Kowakian Corsair""",JP_2793,,inherited,1.0,,https://sketchfab.com/3d-models/none-3e187fed67034c488a0a9e41eae36628
Starships,individual,Individuals/Bror Jace's T-65 X-wing,Bror Jace's T-65 X-wing,X-wing starfighter | T-65C-A2,Alana G,,inherited,1.0,,https://sketchfab.com/3d-models/none-2397144aa2314e8fb03bf131d8f56af4
Starships,individual,Individuals/Bruizer,Bruizer,Star Wars LAAT/i Gunship,smithson17,,inherited,1.0,,https://sketchfab.com/3d-models/none-77e5a30af490488c8019dcb3780ec847
